,	3986
the	2141
.	1435
and	1306
of	854
a	752
to	732
"	665
in	630
that	459
his	450
i	419
!	399
he	396
|'s|	382
;	364
with	353
it	300
'	300
for	291
was	249
as	245
by	235
is	232
:	223
all	220
but	204
not	198
from	197
at	167
|arabic1digit|	156
what	156
—	154
on	152
him	150
which	148
my	146
be	144
this	141
(	139
had	133
one	129
they	128
me	127
|arabic2digit|	126
man	115
its	111
)	109
who	108
or	105
no	104
."	104
thou	102
so	97
?	96
when	95
then	95
their	94
each	94
there	92
life	92
|arabic3digit|	91
|romannumeral|	89
if	84
have	84
her	82
are	82
them	79
own	77
whose	73
though	72
were	70
where	68
you	67
yet	67
out	64
last	63
world	61
too	60
such	60
over	60
thy	59
we	56
time	55
said	55
still	54
will	53
now	53
more	53
like	53
how	53
these	52
made	51
some	50
she	50
old	50
good	50
other	49
do	49
can	49
an	49
upon	48
hath	48
those	47
than	47
long	47
down	47
tis	46
two	45
into	45
mine	44
love	44
bear	44
through	43
thus	42
never	42
must	42
well	40
day	39
would	38
know	38
did	38
away	37
about	37
thought	36
men	36
head	36
half	36
even	36
could	36
way	35
thee	35
first	35
since	34
rest	34
here	34
earth	34
up	33
only	33
cried	33
bird	33
!"	33
tree	32
rose	32
every	32
again	32
round	31
himself	31
before	31
soul	30
say	30
nor	30
name	30
little	30
ever	30
dead	30
been	30
ami	30
why	29
our	29
night	29
without	28
whilst	28
much	28
death	28
same	27
go	27
found	27
after	27
nothing	26
light	26
just	26
dog	26
d	26
born	26
your	25
till	25
saw	25
poor	25
master	25
find	25
am	25
us	24
true	24
strong	24
seemed	24
once	24
many	24
lion	24
lie	24
lay	24
great	24
friend	24
far	24
came	24
while	23
sun	23
small	23
see	23
may	23
left	23
land	23
hour	23
high	23
fall	23
ere	23
art	23
work	22
wild	22
twas	22
simplicius	22
new	22
might	22
lost	22
home	22
done	22
deep	22
song	21
shall	21
pride	21
power	21
knew	21
fate	21
fair	21
eye	21
another	21
ye	20
things	20
mountain	20
hut	20
heard	20
hand	20
cat	20
against	20
?"	20
whole	19
went	19
voice	19
vain	19
tin	19
smile	19
should	19
proud	19
part	19
king	19
heart	19
fast	19
doth	19
both	19
best	19
ah	19
wolf	18
whom	18
water	18
set	18
mountains	18
let	18
grace	18
get	18
free	18
air	18
white	17
turned	17
turn	17
truth	17
thai	17
strength	17
side	17
nature	17
mighty	17
lived	17
live	17
least	17
hard	17
force	17
dust	17
chance	17
broken	17
blood	17
above	17
worth	16
together	16
stood	16
spirit	16
soon	16
sigh	16
self	16
secret	16
purpose	16
pure	16
make	16
ill	16
gold	16
forth	16
fell	16
brow	16
between	16
being	16
beauty	16
alas	16
word	15
wide	15
thine	15
sound	15
sea	15
save	15
right	15
place	15
pain	15
others	15
iron	15
human	15
heaven	15
fierce	15
enough	15
calm	15
brave	15
beneath	15
beast	15
<	15
wretch	14
vol	14
second	14
replied	14
plain	14
past	14
off	14
o	14
most	14
meanwhile	14
low	14
legs	14
house	14
having	14
hast	14
gone	14
fresh	14
form	14
fine	14
felt	14
eternal	14
child	14
charm	14
better	14
any	14
whatever	13
wave	13
took	13
sight	13
seen	13
put	13
n	13
mere	13
lord	13
living	13
joy	13
flight	13
fear	13
eyes	13
doubt	13
dark	13
caracol	13
andrew	13
among	13
along	13
words	12
wood	12
within	12
tell	12
sublime	12
something	12
sleep	12
sighed	12
show	12
quite	12
point	12
poet	12
mind	12
m	12
length	12
image	12
hold	12
grey	12
fled	12
feet	12
feel	12
fancy	12
fables	12
cold	12
care	12
cannot	12
bramble	12
below	12
began	12
because	12
young	11
weary	11
twixt	11
think	11
thing	11
swan	11
state	11
short	11
sad	11
passed	11
pass	11
ones	11
oh	11
nought	11
moment	11
memory	11
marble	11
lot	11
laid	11
known	11
justice	11
hi	11
heavy	11
ground	11
green	11
flesh	11
father	11
et	11
dim	11
daily	11
come	11
call	11
brought	11
brother	11
breath	11
behind	11
bed	11
became	11
back	11
amen	11
.'	11
■	10
••	10
wrong	10
worm	10
wandering	10
wagon	10
view	10
valour	10
three	10
take	10
t	10
sweet	10
strife	10
spot	10
speech	10
single	10
royal	10
repose	10
prey	10
pray	10
praise	10
neither	10
mount	10
mixed	10
look	10
leaves	10
indeed	10
hope	10
help	10
hair	10
grave	10
forest	10
fed	10
fallen	10
everywhere	10
else	10
either	10
dream	10
dost	10
die	10
blind	10
ask	10
age	10
!)	10
■•	9
years	9
wind	9
weight	9
trouble	9
tried	9
town	9
themselves	9
teeth	9
strange	9
storm	9
stately	9
star	9
sole	9
slowly	9
slow	9
shore	9
ship	9
shade	9
sense	9
safe	9
rolling	9
reason	9
question	9
perfect	9
none	9
noble	9
nero	9
needs	9
natural	9
music	9
monarch	9
melancholy	9
less	9
horse	9
haroun	9
g	9
forgive	9
fool	9
face	9
door	9
died	9
creation	9
counsel	9
clear	9
clay	9
choice	9
chief	9
bruin	9
bright	9
brain	9
bound	9
blow	9
black	9
bis	9
behold	9
beasts	9
bad	9
around	9
...	9
winds	8
weather	8
warm	8
under	8
thereby	8
sum	8
sullen	8
sudden	8
spake	8
space	8
smiling	8
silence	8
search	8
scarce	8
sank	8
rock	8
road	8
race	8
queen	8
public	8
peace	8
paws	8
passion	8
order	8
oft	8
next	8
near	8
nay	8
mused	8
morn	8
moral	8
monument	8
means	8
mean	8
lips	8
labour	8
keen	8
itself	8
i'll	8
hills	8
hen	8
haste	8
has	8
happy	8
grew	8
grass	8
goes	8
glory	8
given	8
full	8
friends	8
four	8
forced	8
follow	8
folk	8
fly	8
flea	8
fit	8
fain	8
dying	8
dreams	8
different	8
cut	8
cry	8
crown	8
cries	8
cork	8
content	8
change	8
chanced	8
cause	8
cast	8
brute	8
breast	8
blue	8
birds	8
beyond	8
answer	8
already	8
alone	8
across	8
',	8
•	7
worse	7
woe	7
waters	7
use	7
traveller	7
touch	7
times	7
thrown	7
third	7
tears	7
tall	7
surface	7
surely	7
sunk	7
summit	7
stand	7
stag	7
spread	7
sprang	7
sought	7
son	7
soft	7
snow	7
smith	7
sky	7
shook	7
shame	7
selfsame	7
scorn	7
saved	7
sage	7
ruin	7
root	7
river	7
rich	7
resolved	7
realm	7
proved	7
pleasure	7
pleased	7
picture	7
people	7
